id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
282,Super Earth,2011,3.8 Earths,1.77 x Earth,0.125 AU,28.1 days,0.02,
283,Super Earth,2013,2.7 Earths,1.45 x Earth,0.213 AU,62.2 days,0.02,
284,Super Earth,2013,2.7 Earths,1.45 x Earth,0.156 AU,39 days,0.03,
285,Super Earth,2013,4.6 Earths,1.99 x Earth,0.549 AU,256.2 days,0.08,
286,Neptune-like,2007,11.09 Earths,0.297 x Jupiter,0.039 AU,4.7 days,0.2,
287,Gas Giant,2010,5.792 Jupiters,1.14 x Jupiter,1.735 AU,2.9 years,0.32,
288,Gas Giant,2016,13.492 Jupiters,1.1 x Jupiter,9.726 AU,38.1 years,0.3,
289,Super Earth,2012,3.81394 Earths,1.78 x Earth,0.039 AU,3.6 days,0.19,
290,Neptune-like,2012,6.6744 Earths,0.221 x Jupiter,0.181 AU,35.5 days,0.15,
291,Gas Giant,2022,25.1 Jupiters,1.07 x Jupiter,10.138 AU,47.3 years,0.38,
292,Super Earth,2014,4.4 Earths,1.93 x Earth,0.08 AU,17.5 days,0.08,
293,Neptune-like,2014,8.7 Earths,0.258 x Jupiter,0.176 AU,57.3 days,0.1,
294,Neptune-like,2019,9 Earths,0.263 x Jupiter,0.1344 AU,24.2 days,0.0,
295,Neptune-like,2014,17.2 Earths,0.385 x Jupiter,0.163 AU,38.1 days,0.17,
296,Neptune-like,2020,16 Earths,0.369 x Jupiter,1.165 AU,2 years,0.4,
297,Neptune-like,2021,13.64 Earths,0.336 x Jupiter,0.119 AU,19.5 days,0.12,
298,Super Earth,2021,2.96 Earths,1.53 x Earth,0.029 AU,2.4 days,0.24,
299,Gas Giant,2008,0.8 Jupiters,1.24 x Jupiter,3.56 AU,10 years,0.08,
300,Gas Giant,2006,0.9 Jupiters,1.24 x Jupiter,2.409 AU,5.2 years,0.04,
301,Gas Giant,2014,0.702 Jupiters,1.25 x Jupiter,4.974 AU,19.4 years,0.1,
302,Gas Giant,1999,4.42 Jupiters,1.15 x Jupiter,0.11 AU,15.8 days,0.04,
303,Gas Giant,1998,2.2756 Jupiters,1.19 x Jupiter,0.208317 AU,61.1 days,0.03,
304,Gas Giant,2000,0.7142 Jupiters,1.25 x Jupiter,0.12959 AU,30.1 days,0.26,
305,Neptune-like,2005,6.83 Earths,0.224 x Jupiter,0.020807 AU,1.9 days,0.21,
306,Neptune-like,2010,14.6 Earths,0.35 x Jupiter,0.3343 AU,124.3 days,0.06,
307,Super Earth,2020,4.2 Earths,1.88 x Earth,0.068 AU,9.3 days,0.0,
308,Neptune-like,2020,7.6 Earths,0.238 x Jupiter,0.12 AU,21.8 days,0.0,
309,Gas Giant,2022,2.26 Jupiters,1.19 x Jupiter,0.63965 AU,284.4 days,0.35,
310,Gas Giant,2020,0.21 Jupiters,0.856 x Jupiter,0.88 AU,2.1 years,0.46,
311,Neptune-like,2020,9.65 Earths,0.274 x Jupiter,0.1139 AU,18.3 days,0.29,
312,Neptune-like,2018,19.66 Earths,0.417 x Jupiter,0.291 AU,73.9 days,0.44,
313,Gas Giant,2022,9.403 Jupiters,1.12 x Jupiter,12.319 AU,52.7 years,0.16,
314,Super Earth,2017,5.14 Earths,1.577 x Earth,0.0188 AU,1.2 days,< 0.063,
315,Super Earth,2017,1.3 Earths,1.241 x Earth,0.03925 AU,3.6 days,< 0.094,
316,Neptune-like,2017,3.53 Earths,2.022 x Earth,0.0559 AU,6.2 days,< 0.13,
317,Neptune-like,2019,13.02 Earths,0.327 x Jupiter,0.039435 AU,3.8 days,0.11,
318,Neptune-like,2019,5.63 Earths,0.2 x Jupiter,0.0905 AU,13.9 days,0.36,
319,Neptune-like,2018,6.624 Earths,0.22 x Jupiter,0.091 AU,15.5 days,0.05,
320,Gas Giant,2021,19.7 Jupiters,1.47 x Jupiter,0.0338 AU,1.7 days,0.0,
321,Gas Giant,2004,20 Jupiters,3.0 x Jupiter,100.0 AU,1195.9 years,0.0,
322,Gas Giant,2010,16 Jupiters,1.8 x Jupiter,320.0 AU,6037.4 years,0.0,
323,Gas Giant,2014,11.3 Jupiters,1.265 x Jupiter,2000.0 AU,155788.8 years,0.0,
324,Neptune-like,2008,26.69772 Earths,0.389 x Jupiter,0.05254 AU,4.9 days,0.22,
325,Gas Giant,2018,2.3 Jupiters,1.19 x Jupiter,4.13 AU,9.3 years,0.6,
326,Gas Giant,2009,0.211 Jupiters,0.959 x Jupiter,0.0384 AU,3.2 days,0.0,
327,Gas Giant,2009,0.851 Jupiters,1.272 x Jupiter,0.04383 AU,2.9 days,0.01,
328,Gas Giant,2009,14.28 Jupiters,1.1 x Jupiter,1.258 AU,446.3 days,0.66,
329,Gas Giant,2010,3.44 Jupiters,1.42 x Jupiter,0.0596 AU,4.6 days,0.11,
330,Gas Giant,2010,1.94 Jupiters,1.06 x Jupiter,0.0965 AU,10.9 days,0.19,
331,Gas Giant,2010,4.193 Jupiters,1.289 x Jupiter,0.0413 AU,2.8 days,0.04,
332,Gas Giant,2010,0.58 Jupiters,1.05 x Jupiter,0.0882 AU,10.3 days,0.35,
333,Gas Giant,2010,3.4 Jupiters,1.17 x Jupiter,5.6 AU,15.3 years,0.39,
334,Gas Giant,2010,0.197 Jupiters,0.995 x Jupiter,0.0559 AU,5.5 days,0.08,
335,Gas Giant,2010,0.292 Jupiters,1.132 x Jupiter,0.0466 AU,4 days,0.07,
336,Gas Giant,2006,0.525 Jupiters,1.319 x Jupiter,0.05561 AU,4.5 days,0.0,
337,Gas Giant,2010,7.246 Jupiters,0.867 x Jupiter,0.0361 AU,2.9 days,0.02,
338,Gas Giant,2010,4.87 Jupiters,1.11 x Jupiter,0.0494 AU,4.1 days,0.23,
339,Gas Giant,2010,2.47 Jupiters,1.15 x Jupiter,0.0414 AU,3.2 days,0.02,
340,Gas Giant,2010,1.34 Jupiters,1.09 x Jupiter,0.0232 AU,1.2 days,0.11,
341,Gas Giant,2010,0.75 Jupiters,1.3 x Jupiter,0.04651 AU,3.4 days,0.07,
342,Gas Giant,2010,0.569 Jupiters,1.135 x Jupiter,0.0466 AU,3.7 days,0.02,
343,Neptune-like,2010,22.2481 Earths,0.63 x Jupiter,0.0479 AU,4.2 days,0.12,
344,Gas Giant,2011,0.62 Jupiters,1.02 x Jupiter,0.04 AU,3 days,0.0,
345,Gas Giant,2011,0.626 Jupiters,1.212 x Jupiter,0.0434 AU,3.3 days,0.05,
346,Gas Giant,2011,0.88 Jupiters,1.17 x Jupiter,0.0667 AU,5.7 days,0.09,
347,Gas Giant,2007,8.7 Jupiters,1.13 x Jupiter,0.06814 AU,5.6 days,0.52,
348,Gas Giant,2011,0.83 Jupiters,1.44 x Jupiter,0.0419 AU,2.8 days,0.04,
349,Gas Giant,2011,2.27 Jupiters,1.09 x Jupiter,0.061 AU,5 days,0.25,
350,Gas Giant,2011,0.68 Jupiters,1.98 x Jupiter,0.03397 AU,2.2 days,0.16,
351,Gas Giant,2011,0.92 Jupiters,1.85 x Jupiter,0.04995 AU,3.5 days,0.0,
352,Gas Giant,2011,3.33 Jupiters,1.197 x Jupiter,0.06774 AU,5.5 days,0.43,
353,Gas Giant,2011,1.056 Jupiters,1.332 x Jupiter,0.04978 AU,3.6 days,< 0.02,
354,Gas Giant,2011,1.8482 Jupiters,1.277 x Jupiter,0.0241 AU,1.3 days,0.06,
355,Gas Giant,2011,1.169 Jupiters,1.178 x Jupiter,0.0379 AU,2.8 days,0.06,
356,Gas Giant,2012,0.267 Jupiters,0.825 x Jupiter,0.0523 AU,4.6 days,0.07,
357,Gas Giant,2012,0.599 Jupiters,1.571 x Jupiter,0.0509 AU,3.5 days,0.0,
358,Gas Giant,2007,0.65 Jupiters,0.94 x Jupiter,0.03866 AU,2.9 days,0.0,
359,Gas Giant,2012,0.48 Jupiters,1.52 x Jupiter,0.0608 AU,4.5 days,0.0,
360,Gas Giant,2012,1.19 Jupiters,2.05 x Jupiter,0.04258 AU,2.7 days,0.0,
361,Gas Giant,2012,1.044 Jupiters,1.28 x Jupiter,0.0575 AU,4.6 days,0.0,
362,Gas Giant,2012,0.662 Jupiters,1.216 x Jupiter,0.0444 AU,3.3 days,< 0.21,
363,Gas Giant,2014,0.352 Jupiters,1.242 x Jupiter,0.0507 AU,4.3 days,0.04,
364,Gas Giant,2014,4 Jupiters,1.16 x Jupiter,1.752 AU,2.4 years,0.49,
365,Gas Giant,2014,0.892 Jupiters,1.426 x Jupiter,0.0452 AU,3.1 days,0.05,
366,Gas Giant,2014,0.493 Jupiters,1.284 x Jupiter,0.0577 AU,4.5 days,0.12,
367,Gas Giant,2014,2.2 Jupiters,1.59 x Jupiter,0.04378 AU,2.7 days,0.0,
368,Gas Giant,2007,0.671 Jupiters,1.274 x Jupiter,0.04438 AU,3.1 days,0.0,
369,Gas Giant,2015,1.35 Jupiters,1.288 x Jupiter,0.0453 AU,3.1 days,< 0.115,
370,Gas Giant,2015,0.309 Jupiters,1.293 x Jupiter,0.05069 AU,4.2 days,< 0.123,
371,Gas Giant,2015,0.818 Jupiters,1.009 x Jupiter,0.03694 AU,2.8 days,< 0.047,
372,Gas Giant,2015,1.484 Jupiters,1.318 x Jupiter,0.03159 AU,2 days,< 0.134,
373,Gas Giant,2015,0.76 Jupiters,0.944 x Jupiter,0.04117 AU,3.8 days,< 0.074,
374,Gas Giant,2015,0.582 Jupiters,1.182 x Jupiter,0.04604 AU,3.6 days,< 0.139,
375,Gas Giant,2015,2.31 Jupiters,1.51 x Jupiter,0.0423 AU,2.8 days,< 0.29,
376,Gas Giant,2015,1.41 Jupiters,1.74 x Jupiter,0.0406 AU,2.5 days,0.0,
377,Gas Giant,2021,0.372 Jupiters,1.332 x Jupiter,0.04994 AU,4 days,< 0.073,
378,Gas Giant,2021,1.54 Jupiters,1.123 x Jupiter,0.05064 AU,4.1 days,< 0.03,
379,Gas Giant,2007,0.98 Jupiters,1.21 x Jupiter,0.04073 AU,2.8 days,0.0,
380,Gas Giant,2021,0.574 Jupiters,1.631 x Jupiter,0.06277 AU,4.8 days,< 0.25,
381,Gas Giant,2021,1.057 Jupiters,0.899 x Jupiter,0.0301 AU,1.9 days,< 0.113,
382,Gas Giant,2021,0.761 Jupiters,1.073 x Jupiter,0.03772 AU,2.6 days,< 0.101,
383,Gas Giant,2021,0.614 Jupiters,1.119 x Jupiter,0.04294 AU,3.4 days,< 0.069,
384,Gas Giant,2021,0.58 Jupiters,1.703 x Jupiter,0.05387 AU,4 days,< 0.101,
385,Gas Giant,2016,0.527 Jupiters,1.89 x Jupiter,0.03951 AU,2.6 days,< 0.304,
386,Gas Giant,2016,0.783 Jupiters,1.59 x Jupiter,0.04363 AU,3 days,< 0.09,
387,Gas Giant,2017,0.34 Jupiters,2.085 x Jupiter,0.06505 AU,4.8 days,0.0,
388,Gas Giant,2020,0.724 Jupiters,1.072 x Jupiter,0.02996 AU,2.3 days,< 0.041,
389,Gas Giant,2019,3.58 Jupiters,1.676 x Jupiter,0.06555 AU,4.8 days,0.0,
390,Gas Giant,2007,1.32 Jupiters,1.48 x Jupiter,0.05239 AU,3.9 days,0.0,
391,Gas Giant,2019,6.78 Jupiters,1.87 x Jupiter,0.04739 AU,2.7 days,0.0,
392,Gas Giant,2008,1.84 Jupiters,1.51 x Jupiter,0.03676 AU,2.2 days,0.0,
393,Gas Giant,2008,1.28 Jupiters,1.4 x Jupiter,0.04496 AU,3.1 days,0.0,
394,Gas Giant,2008,0.749 Jupiters,1.393 x Jupiter,0.05287 AU,3.9 days,0.08,
395,Gas Giant,2015,0.526 Jupiters,0.969 x Jupiter,0.04491 AU,3.3 days,< 0.501,
396,Gas Giant,2016,0.83 Jupiters,1.609 x Jupiter,0.0507 AU,3.6 days,< 0.34,
397,Gas Giant,2016,2.39 Jupiters,0.692 x Jupiter,0.0441 AU,3.1 days,< 0.085,
398,Gas Giant,2015,0.543 Jupiters,1.212 x Jupiter,0.04057 AU,3 days,< 0.181,
399,Gas Giant,2015,1.071 Jupiters,1.039 x Jupiter,0.03815 AU,2.8 days,< 0.142,
400,Gas Giant,2016,2.17 Jupiters,1.105 x Jupiter,0.02712 AU,1.7 days,< 0.126,
401,Gas Giant,2016,3.27 Jupiters,1.3 x Jupiter,0.03744 AU,2.7 days,0.0,
402,Gas Giant,2016,1.338 Jupiters,0.777 x Jupiter,0.1308 AU,16.3 days,0.03,
403,Gas Giant,2016,1.9795 Jupiters,1.329 x Jupiter,0.0174 AU,0.8 days,0.17,
404,Gas Giant,2012,1.855 Jupiters,1.302 x Jupiter,0.0444 AU,3.4 days,0.12,
405,Gas Giant,2017,2.74 Jupiters,0.953 x Jupiter,0.05025 AU,4.7 days,0.08,
406,Gas Giant,2017,1.47 Jupiters,1.86 x Jupiter,0.03397 AU,2.2 days,< 0.114,
407,Gas Giant,2017,2.26 Jupiters,1.395 x Jupiter,0.0238 AU,1.3 days,0.0,
408,Gas Giant,2016,0.613 Jupiters,1.26 x Jupiter,0.05163 AU,4.3 days,< 0.176,
409,Gas Giant,2016,0.65 Jupiters,1.75 x Jupiter,0.04735 AU,3.3 days,< 0.245,
410,Gas Giant,2016,0.53 Jupiters,1.5 x Jupiter,0.0611 AU,4.6 days,< 0.581,
411,Gas Giant,2016,0.672 Jupiters,1.194 x Jupiter,0.04131 AU,3.2 days,< 0.202,
412,Gas Giant,2016,0.653 Jupiters,1.251 x Jupiter,0.05475 AU,4.6 days,< 0.158,
413,Gas Giant,2013,1.345 Jupiters,1.168 x Jupiter,0.023 AU,1.4 days,0.0,
414,Gas Giant,2016,0.706 Jupiters,1.175 x Jupiter,0.04354 AU,3.2 days,< 0.096,
415,Gas Giant,2016,0.88 Jupiters,1.64 x Jupiter,0.0478 AU,3.4 days,< 0.233,
416,Gas Giant,2016,0.92 Jupiters,1.249 x Jupiter,0.04024 AU,2.8 days,< 0.471,
417,Gas Giant,2016,1.192 Jupiters,1.23 x Jupiter,0.03727 AU,2.5 days,< 0.08,
418,Gas Giant,2016,0.941 Jupiters,1.43 x Jupiter,0.03166 AU,2.1 days,< 0.108,
419,Gas Giant,2016,1.222 Jupiters,1.464 x Jupiter,0.03199 AU,1.8 days,< 0.306,
420,Gas Giant,2018,3.216 Jupiters,1.153 x Jupiter,0.0523 AU,4.2 days,0.11,
421,Neptune-like,2020,31.46517 Earths,0.606 x Jupiter,0.04913 AU,4.3 days,0.0,
422,Neptune-like,2020,23.51942 Earths,0.614 x Jupiter,0.05036 AU,4.4 days,0.0,
423,Gas Giant,2018,0.63 Jupiters,1.57 x Jupiter,0.06007 AU,4.6 days,< 0.275,
424,Gas Giant,2013,1.071 Jupiters,1.381 x Jupiter,0.0485 AU,3.5 days,0.0,
425,Gas Giant,2018,1.59 Jupiters,1.58 x Jupiter,0.04997 AU,3.3 days,< 0.312,
426,Gas Giant,2018,9.7 Jupiters,1.33 x Jupiter,0.0583 AU,4.2 days,0.38,
427,Gas Giant,2018,1.88 Jupiters,1.4 x Jupiter,0.03689 AU,2.3 days,< 0.229,
428,Gas Giant,2018,0.261 Jupiters,1.18 x Jupiter,0.04944 AU,4.4 days,0.17,
429,Gas Giant,2018,0.56 Jupiters,1.067 x Jupiter,0.03649 AU,2.7 days,< 0.279,
430,Gas Giant,2018,0.7 Jupiters,1.286 x Jupiter,0.05511 AU,4.2 days,< 0.24,
431,Gas Giant,2018,0.173 Jupiters,0.903 x Jupiter,0.05367 AU,4.7 days,< 0.559,
432,Gas Giant,2020,0.369 Jupiters,1.117 x Jupiter,0.04269 AU,3.9 days,< 0.088,
433,Gas Giant,2020,0.243 Jupiters,0.8 x Jupiter,0.03769 AU,3.1 days,< 0.162,
434,Gas Giant,2020,0.353 Jupiters,0.765 x Jupiter,0.04515 AU,4.1 days,< 0.071,
435,Gas Giant,2014,1.323 Jupiters,1.02 x Jupiter,0.0362 AU,2.5 days,0.01,
436,Gas Giant,2017,0.39 Jupiters,1.13 x Jupiter,0.05046 AU,3.8 days,< 0.516,
437,Gas Giant,2017,0.768 Jupiters,1.41 x Jupiter,0.04639 AU,3.3 days,< 0.33,
438,Gas Giant,2017,2.24 Jupiters,1.382 x Jupiter,0.02498 AU,1.4 days,< 0.246,
439,Gas Giant,2017,0.595 Jupiters,1.34 x Jupiter,0.04753 AU,3.9 days,< 0.33,
440,Gas Giant,2019,0.753 Jupiters,1.015 x Jupiter,0.037 AU,2.5 days,0.0,
441,Gas Giant,2019,0.921 Jupiters,1.251 x Jupiter,0.05412 AU,4.2 days,< 0.092,
442,Gas Giant,2019,0.602 Jupiters,1.688 x Jupiter,0.06043 AU,4.3 days,< 0.019,
443,Gas Giant,2019,3.147 Jupiters,1.139 x Jupiter,0.03493 AU,2.4 days,< 0.028,
444,Gas Giant,2019,1.03 Jupiters,1.095 x Jupiter,0.05798 AU,4.2 days,< 0.168,
445,Gas Giant,2018,0.806 Jupiters,1.126 x Jupiter,0.06112 AU,5.4 days,0.13,
446,Gas Giant,2018,12.7 Jupiters,1.1 x Jupiter,2.504 AU,3.9 years,< 0.083,
447,Gas Giant,2014,0.237 Jupiters,0.912 x Jupiter,0.0542 AU,4.8 days,0.02,
448,Gas Giant,2018,0.662 Jupiters,1.153 x Jupiter,0.04708 AU,3.6 days,0.19,
449,Gas Giant,2018,3.4 Jupiters,1.195 x Jupiter,0.07908 AU,7.8 days,0.09,
450,Gas Giant,2018,0.179 Jupiters,1.055 x Jupiter,0.04163 AU,3.3 days,0.3,
451,Gas Giant,2018,0.96 Jupiters,1.207 x Jupiter,0.04026 AU,3.1 days,0.14,
452,Gas Giant,2018,0.96 Jupiters,1.679 x Jupiter,0.06562 AU,4.9 days,0.15,
453,Gas Giant,2018,0.821 Jupiters,1.501 x Jupiter,0.04497 AU,3.1 days,0.06,
454,Gas Giant,2018,5.33 Jupiters,1.411 x Jupiter,0.04714 AU,3.1 days,0.06,
455,Gas Giant,2018,1.45 Jupiters,1.685 x Jupiter,0.03032 AU,1.6 days,0.06,
456,Gas Giant,2018,1.29 Jupiters,1.232 x Jupiter,0.05071 AU,3.6 days,0.04,
457,Gas Giant,2018,0.577 Jupiters,0.945 x Jupiter,0.03211 AU,2.2 days,0.52,
458,Gas Giant,2015,0.319 Jupiters,0.998 x Jupiter,0.03623 AU,3.3 days,0.0,
459,Gas Giant,2019,12.9 Jupiters,1.384 x Jupiter,0.03632 AU,1.9 days,< 0.18,
460,Gas Giant,2020,0.37 Jupiters,1.024 x Jupiter,0.03745 AU,3.8 days,0.0,
461,Gas Giant,2020,39.85588 Earths,0.722 x Jupiter,0.066517 AU,7.3 days,< 0.013,
462,Gas Giant,2021,1.46 Jupiters,1.032 x Jupiter,0.02384 AU,1.7 days,< 0.044,
463,Gas Giant,2021,0.491 Jupiters,0.884 x Jupiter,0.032742 AU,2.8 days,< 0.064,
464,Gas Giant,2021,2.629 Jupiters,1.079 x Jupiter,0.02658 AU,1.9 days,< 0.062,
465,Gas Giant,2021,1.374 Jupiters,1.165 x Jupiter,0.03607 AU,3.1 days,< 0.045,
466,Gas Giant,2015,38.1396 Earths,0.563 x Jupiter,0.04012 AU,3.2 days,< 0.17,
467,Gas Giant,2015,0.138 Jupiters,0.873 x Jupiter,0.04667 AU,3.6 days,< 0.376,
468,Gas Giant,2015,0.837 Jupiters,1.236 x Jupiter,0.0312 AU,1.9 days,< 0.075,
469,Gas Giant,2014,752 Jupiters,6.9 x Jupiter,53.0 AU,249.2 years,0.0,
470,Gas Giant,2011,1.61 Jupiters,1.21 x Jupiter,0.68 AU,157.6 days,0.09,
471,Gas Giant,2007,1.03 Jupiters,1.23 x Jupiter,1.03 AU,383.7 days,0.36,
472,Neptune-like,2010,13.1 Earths,0.328 x Jupiter,0.06412 AU,5.8 days,0.07,
473,Neptune-like,2010,11.75 Earths,0.308 x Jupiter,0.12859 AU,16.4 days,0.13,
474,Neptune-like,2010,25.1 Earths,0.481 x Jupiter,0.2699 AU,49.7 days,0.05,
475,Neptune-like,2010,23.9 Earths,0.468 x Jupiter,0.4929 AU,122.7 days,0.12,
476,Neptune-like,2010,21.4 Earths,0.438 x Jupiter,1.427 AU,1.7 years,0.26,
477,Gas Giant,2010,0.203 Jupiters,0.838 x Jupiter,3.381 AU,6 years,0.1,
478,Gas Giant,2005,0.25 Jupiters,0.949 x Jupiter,0.3 AU,70.5 days,0.11,
479,Gas Giant,2005,0.17 Jupiters,0.756 x Jupiter,0.15 AU,20.8 days,0.12,
480,Gas Giant,2006,0.41 Jupiters,1.27 x Jupiter,0.05 AU,4.1 days,0.0,
481,Gas Giant,2008,4.94 Jupiters,1.15 x Jupiter,0.51 AU,127.6 days,0.05,
482,Gas Giant,2011,8.16 Jupiters,1.12 x Jupiter,1.81 AU,2.1 years,0.21,
483,Gas Giant,2018,1.52 Jupiters,1.21 x Jupiter,Unknown,3.1 years,0.21,
484,Neptune-like,2010,16 Earths,0.369 x Jupiter,0.46 AU,122.1 days,0.34,
485,Gas Giant,2019,0.35837 Jupiters,1.17 x Jupiter,4.074 AU,8.5 years,0.11,
486,Gas Giant,2010,0.96 Jupiters,1.23 x Jupiter,0.0807 AU,6.5 days,0.04,
487,Neptune-like,2009,28.6047 Earths,0.52 x Jupiter,0.25 AU,47.8 days,0.0,
488,Gas Giant,2014,0.62 Jupiters,1.26 x Jupiter,0.0498 AU,4.6 days,0.09,
489,Gas Giant,2013,0.367 Jupiters,1.19 x Jupiter,0.07 AU,5.9 days,0.09,
490,Gas Giant,2022,2.89 Jupiters,1.18 x Jupiter,3.27 AU,5.3 years,0.31,
491,Neptune-like,2019,11.2 Earths,0.299 x Jupiter,0.439 AU,120.9 days,0.19,
492,Gas Giant,2009,0.16 Jupiters,0.729 x Jupiter,0.26 AU,55.8 days,0.0,
493,Gas Giant,2014,1.487 Jupiters,1.21 x Jupiter,2.01 AU,2.8 years,0.13,
494,Gas Giant,2003,8.3 Jupiters,1.12 x Jupiter,0.95 AU,199.5 days,0.09,
495,Neptune-like,2022,25.42627 Earths,0.485 x Jupiter,0.091 AU,10 days,0.46,
496,Gas Giant,2022,26.491 Jupiters,1.07 x Jupiter,35.731 AU,211.3 years,0.13,
497,Gas Giant,2022,0.64 Jupiters,1.26 x Jupiter,3.38 AU,6.6 years,0.0,
498,Gas Giant,2002,10 Jupiters,1.11 x Jupiter,2.61 AU,4.2 years,0.48,
499,Gas Giant,2011,11.4 Jupiters,1.11 x Jupiter,3.34 AU,5.2 years,0.19,
500,Super Earth,2017,12.6 Earths,0.218 x Jupiter,0.0907 AU,9.6 days,0.09,
501,Neptune-like,2017,15.2 Earths,0.388 x Jupiter,0.1536 AU,21.1 days,0.22,
502,Gas Giant,2006,0.94 Jupiters,1.23 x Jupiter,2.015 AU,2.7 years,0.15,
503,Gas Giant,2012,9.518 Jupiters,1.12 x Jupiter,4.491 AU,9.8 years,0.57,
504,Gas Giant,2013,11 Jupiters,1.11 x Jupiter,650.0 AU,13538.6 years,0.0,
505,Gas Giant,1999,5.743 Jupiters,1.14 x Jupiter,2.051 AU,2.9 years,0.1,
506,Gas Giant,2005,0.21 Jupiters,0.856 x Jupiter,0.269 AU,48.1 days,0.05,
507,Neptune-like,2021,19.89606 Earths,0.42 x Jupiter,0.1407 AU,18.3 days,0.34,
508,Gas Giant,2002,0.261 Jupiters,0.973 x Jupiter,0.102 AU,10.9 days,0.53,
509,Super Earth,2020,3.24 Earths,1.615 x Earth,0.04527 AU,3.8 days,0.05,
510,Super Earth,2020,4.94 Earths,2.071 x Earth,0.062 AU,6.2 days,0.03,
511,Neptune-like,2020,6.98 Earths,0.227 x Jupiter,0.1074 AU,14.2 days,0.06,
512,Neptune-like,2020,9.71 Earths,0.275 x Jupiter,0.1367 AU,19.6 days,0.06,
513,Super Earth,2021,4.72 Earths,2.017 x Earth,0.1758 AU,29.5 days,0.05,
514,Gas Giant,2014,2.25 Jupiters,1.19 x Jupiter,2.0 AU,3.1 years,0.85,
515,Gas Giant,2011,2.414 Jupiters,1.18 x Jupiter,1.32 AU,437.7 days,0.03,
516,Gas Giant,2002,1.42 Jupiters,1.21 x Jupiter,1.04 AU,394.5 days,0.13,
517,Gas Giant,2005,0.99 Jupiters,1.23 x Jupiter,2.659 AU,4.4 years,0.24,
518,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,0.33 AU,68.3 days,0.12,
519,Neptune-like,2013,17.162 Earths,0.385 x Jupiter,0.079 AU,7.9 days,0.25,
520,Neptune-like,2013,24.154 Earths,0.47 x Jupiter,0.196 AU,30.9 days,0.15,
521,Gas Giant,2021,2.99 Jupiters,1.17 x Jupiter,1.259 AU,1.4 years,0.34,
522,Gas Giant,2005,0.27 Jupiters,0.993 x Jupiter,0.0615 AU,5.2 days,0.0,
523,Gas Giant,2021,0.45 Jupiters,1.28 x Jupiter,0.95 AU,283.8 days,0.44,
524,Neptune-like,2022,8.69 Earths,0.258 x Jupiter,Unknown,9.2 days,0.18,
525,Neptune-like,2022,7.22 Earths,0.231 x Jupiter,Unknown,13.9 days,0.3,
526,Gas Giant,2022,21.821 Jupiters,1.08 x Jupiter,12.518 AU,46.9 years,0.06,
527,Gas Giant,2009,11.09 Jupiters,1.11 x Jupiter,2.14 AU,2.3 years,0.46,
528,Neptune-like,2021,10.3 Earths,0.285 x Jupiter,0.113 AU,10.2 days,0.2,
529,Neptune-like,2021,4.55 Earths,2.05 x Earth,0.035 AU,2.5 days,0.09,
530,Neptune-like,2021,10.5 Earths,0.288 x Jupiter,0.068 AU,6.7 days,0.05,
531,Gas Giant,2022,27.099 Jupiters,1.06 x Jupiter,16.714 AU,67 years,0.4,
532,Gas Giant,2022,8.176 Jupiters,1.12 x Jupiter,13.38 AU,47.2 years,0.29,
533,Gas Giant,2003,7.965 Jupiters,1.12 x Jupiter,2.148 AU,3.2 years,0.21,
534,Gas Giant,2022,18.063 Jupiters,1.08 x Jupiter,17.25 AU,72.5 years,0.56,
535,Gas Giant,2017,4.4 Jupiters,1.15 x Jupiter,2.5 AU,2.9 years,0.26,
536,Gas Giant,2016,4.51 Jupiters,1.15 x Jupiter,1.82 AU,2.3 years,0.03,
537,Gas Giant,2020,5 Jupiters,1.15 x Jupiter,1.7 AU,1.7 years,0.24,
538,Gas Giant,2013,3.259 Jupiters,1.17 x Jupiter,1.022 AU,317.6 days,0.28,
539,Gas Giant,2022,19.821 Jupiters,1.08 x Jupiter,6.805 AU,14.9 years,0.16,
540,Gas Giant,2022,0.804 Jupiters,1.24 x Jupiter,0.923 AU,228.5 days,0.17,
541,Gas Giant,2010,0.36 Jupiters,1.18 x Jupiter,1.24 AU,1.8 years,0.14,
542,Gas Giant,2010,0.93 Jupiters,1.24 x Jupiter,2.44 AU,5 years,0.2,
543,Gas Giant,2017,6.3 Jupiters,1.14 x Jupiter,1.6 AU,1.7 years,0.28,
544,Gas Giant,2022,8 Jupiters,1.0 x Jupiter,0.5109 AU,109.8 days,0.4,
545,Gas Giant,2003,1.14 Jupiters,1.22 x Jupiter,1.73 AU,2.6 years,0.23,
546,Gas Giant,2014,0.357 Jupiters,1.17 x Jupiter,5.34 AU,11 years,0.46,
547,Gas Giant,2002,0.825 Jupiters,1.24 x Jupiter,2.067 AU,3.1 years,0.08,
548,Gas Giant,2001,1.1 Jupiters,1.23 x Jupiter,1.16 AU,493.7 days,0.14,
549,Gas Giant,2018,0.611 Jupiters,1.26 x Jupiter,4.97 AU,11.8 years,0.0,
550,Gas Giant,2022,7.899 Jupiters,1.12 x Jupiter,20.247 AU,89.5 years,0.14,
551,Gas Giant,2007,4.88 Jupiters,1.15 x Jupiter,2.8 AU,4.4 years,0.39,
552,Gas Giant,2008,0.369 Jupiters,1.19 x Jupiter,0.75 AU,224 days,0.23,
